id,type,text,dialect,syllable_count,stress_pattern,stress_features,estimated_duration,actual_duration_mean,standard_deviation,duration_measurement_status,duration_model,pronunciation_phonemic_ipa,surface_pronunciation_ipa,phoneme_sequence,phoneme_set,consonants,nuclei,word_final_codas,cross_word_transition,phoneme_transitions,consonant_clusters,phonological_processes,reduced_vowels_and_weak_forms,pronunciation_review_status,review_notes,viseme_sequence,viseme_set,viseme_transitions,phoneme_viseme_pairs,av_transitions,score_weighting_status,standalone_phoneme_coverage,standalone_coda_coverage,standalone_stress_feature_coverage,standalone_reduction_coverage,standalone_cluster_coverage,standalone_process_coverage,standalone_phoneme_transition_coverage,standalone_viseme_coverage,standalone_viseme_transition_coverage,standalone_av_transition_coverage,standalone_audio_score,standalone_vision_score,standalone_joint_av_score,standalone_audio_score_per_sec,standalone_vision_score_per_sec,standalone_joint_av_score_per_sec
E026,word,plate,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/pleɪt/,[pleɪt],p-l-eɪ-t,"eɪ,l,p,t","p,l,t",eɪ,t,,"p→l,l→eɪ,eɪ→t",pl,aspiration,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → coronal → spread_vowel → coronal,"bilabial_closure,coronal,spread_vowel","bilabial_closure→coronal,coronal→spread_vowel,spread_vowel→coronal","p:bilabial_closure,l:coronal,eɪ:spread_vowel,t:coronal","p:bilabial_closure→l:coronal,l:coronal→eɪ:spread_vowel,eɪ:spread_vowel→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0.111111111,0.012605042,0.15,0.027522936,0.012605042,0.092272297,0.088761468,0.083603405,0.177446724,0.170695131,0.16077578
E027,word,glass,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɡlæs/,[ɡlæs],ɡ-l-æ-s,"l,s,æ,ɡ","ɡ,l,s",æ,s,,"ɡ→l,l→æ,æ→s",ɡl,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → coronal → open_vowel → coronal,"low_visibility_velar,coronal,open_vowel","low_visibility_velar→coronal,coronal→open_vowel,open_vowel→coronal","ɡ:low_visibility_velar,l:coronal,æ:open_vowel,s:coronal","ɡ:low_visibility_velar→l:coronal,l:coronal→æ:open_vowel,æ:open_vowel→s:coronal",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0,0.012605042,0.15,0.027522936,0.012605042,0.076399281,0.088761468,0.072492294,0.146921694,0.170695131,0.139408258
E028,word,bread,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/bɹɛd/,[bɹɛd],b-ɹ-ɛ-d,"b,d,ɛ,ɹ","b,ɹ,d",ɛ,d,,"b→ɹ,ɹ→ɛ,ɛ→d",bɹ,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → rhotic → front_open_vowel → coronal,"bilabial_closure,rhotic,front_open_vowel,coronal","bilabial_closure→rhotic,rhotic→front_open_vowel,front_open_vowel→coronal","b:bilabial_closure,ɹ:rhotic,ɛ:front_open_vowel,d:coronal","b:bilabial_closure→ɹ:rhotic,ɹ:rhotic→ɛ:front_open_vowel,ɛ:front_open_vowel→d:coronal",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0,0.012605042,0.2,0.027522936,0.012605042,0.076399281,0.113761468,0.077492294,0.146921694,0.218772054,0.149023643
E029,word,cheese,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/tʃiːz/,[tʃiːz],tʃ-iː-z,"iː,tʃ,z","tʃ,z",iː,z,,"tʃ→iː,iː→z",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,postalveolar → spread_vowel → coronal,"postalveolar,spread_vowel,coronal","postalveolar→spread_vowel,spread_vowel→coronal","tʃ:postalveolar,iː:spread_vowel,z:coronal","tʃ:postalveolar→iː:spread_vowel,iː:spread_vowel→z:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E030,word,fruit,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/fɹuːt/,[fɹuːt],f-ɹ-uː-t,"f,t,uː,ɹ","f,ɹ,t",uː,t,,"f→ɹ,ɹ→uː,uː→t",fɹ,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,labiodental → rhotic → rounded_vowel → coronal,"labiodental,rhotic,rounded_vowel,coronal","labiodental→rhotic,rhotic→rounded_vowel,rounded_vowel→coronal","f:labiodental,ɹ:rhotic,uː:rounded_vowel,t:coronal","f:labiodental→ɹ:rhotic,ɹ:rhotic→uː:rounded_vowel,uː:rounded_vowel→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0,0.012605042,0.2,0.027522936,0.012605042,0.076399281,0.113761468,0.077492294,0.146921694,0.218772054,0.149023643
E031,word,milk,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/mɪlk/,[mɪlk],m-ɪ-l-k,"k,l,m,ɪ","m,l,k",ɪ,k,,"m→ɪ,ɪ→l,l→k",lk,dark_l,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → spread_vowel → coronal → low_visibility_velar,"bilabial_closure,spread_vowel,coronal,low_visibility_velar","bilabial_closure→spread_vowel,spread_vowel→coronal,coronal→low_visibility_velar","m:bilabial_closure,ɪ:spread_vowel,l:coronal,k:low_visibility_velar","m:bilabial_closure→ɪ:spread_vowel,ɪ:spread_vowel→l:coronal,l:coronal→k:low_visibility_velar",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.092272297,0.113761468,0.088603405,0.177446724,0.218772054,0.170391164
E032,word,egg,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɛɡ/,[ɛɡ],ɛ-ɡ,"ɛ,ɡ",ɡ,ɛ,ɡ,,ɛ→ɡ,,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,front_open_vowel → low_visibility_velar,"front_open_vowel,low_visibility_velar",front_open_vowel→low_visibility_velar,"ɛ:front_open_vowel,ɡ:low_visibility_velar",ɛ:front_open_vowel→ɡ:low_visibility_velar,EQUAL_WEIGHT_HEURISTIC,0.046511628,0.0625,0.333333333,0,0,0,0.004201681,0.1,0.009174312,0.004201681,0.063792377,0.054587156,0.055992263,0.132900786,0.113723242,0.116650549
E033,word,orange,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɔɹɪndʒ/,[ɔɹɪndʒ],ɔɹ-ɪ-n-dʒ,"dʒ,n,ɔɹ,ɪ","n,dʒ","ɔɹ,ɪ",dʒ,,"ɔɹ→ɪ,ɪ→n,n→dʒ",ndʒ,r_coloring,ɔɹ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,rhotic_vowel → spread_vowel → coronal → postalveolar,"rhotic_vowel,spread_vowel,coronal,postalveolar","rhotic_vowel→spread_vowel,spread_vowel→coronal,coronal→postalveolar","ɔɹ:rhotic_vowel,ɪ:spread_vowel,n:coronal,dʒ:postalveolar","ɔɹ:rhotic_vowel→ɪ:spread_vowel,ɪ:spread_vowel→n:coronal,n:coronal→dʒ:postalveolar",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.666666667,0.1,0.033333333,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.154177058,0.113761468,0.131936739,0.192721323,0.142201835,0.164920923
E034,word,banana,General American English,3,010,has_primary_stress;has_unstressed_syllable;noninitial_primary_stress;stress_alternation,1.04,1.04,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/bənænə/,[bənænə],b-ə-n-æ-n-ə,"b,n,æ,ə","b,n","ə,æ",,,"b→ə,ə→n,n→æ,æ→n,n→ə",,vowel_reduction,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → neutral_vowel → coronal → open_vowel → coronal → neutral_vowel,"bilabial_closure,neutral_vowel,coronal,open_vowel","bilabial_closure→neutral_vowel,neutral_vowel→coronal,coronal→open_vowel,open_vowel→coronal,coronal→neutral_vowel","b:bilabial_closure,ə:neutral_vowel,n:coronal,æ:open_vowel,n:coronal,ə:neutral_vowel","b:bilabial_closure→ə:neutral_vowel,ə:neutral_vowel→n:coronal,n:coronal→æ:open_vowel,æ:open_vowel→n:coronal,n:coronal→ə:neutral_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0.1,0,0.111111111,0.021008403,0.2,0.04587156,0.021008403,0.141687062,0.12293578,0.12586894,0.13623756,0.118207481,0.121027827
E035,word,tomato,General American English,3,010,has_primary_stress;has_unstressed_syllable;noninitial_primary_stress;stress_alternation,1.04,1.04,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/təmeɪtoʊ/,[təmeɪɾoʊ],t-ə-m-eɪ-t-oʊ,"eɪ,m,oʊ,t,ə","t,m","ə,eɪ,oʊ",,,"t→ə,ə→m,m→eɪ,eɪ→t,t→oʊ",,vowel_reduction;flapping,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → neutral_vowel → bilabial_closure → spread_vowel → coronal → rounded_vowel,"coronal,neutral_vowel,bilabial_closure,spread_vowel,rounded_vowel","coronal→neutral_vowel,neutral_vowel→bilabial_closure,bilabial_closure→spread_vowel,spread_vowel→coronal,coronal→rounded_vowel","t:coronal,ə:neutral_vowel,m:bilabial_closure,eɪ:spread_vowel,t:coronal,oʊ:rounded_vowel","t:coronal→ə:neutral_vowel,ə:neutral_vowel→m:bilabial_closure,m:bilabial_closure→eɪ:spread_vowel,eɪ:spread_vowel→t:coronal,t:coronal→oʊ:rounded_vowel",EQUAL_WEIGHT_HEURISTIC,0.11627907,0,0.666666667,0.1,0,0.222222222,0.021008403,0.25,0.04587156,0.021008403,0.160882337,0.14793578,0.144305633,0.154694555,0.142245942,0.138755416
E036,word,potato,General American English,3,010,has_primary_stress;has_unstressed_syllable;noninitial_primary_stress;stress_alternation,1.04,1.04,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/pəteɪtoʊ/,[pəteɪɾoʊ],p-ə-t-eɪ-t-oʊ,"eɪ,oʊ,p,t,ə","p,t","ə,eɪ,oʊ",,,"p→ə,ə→t,t→eɪ,eɪ→t,t→oʊ",,vowel_reduction;flapping,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → neutral_vowel → coronal → spread_vowel → coronal → rounded_vowel,"bilabial_closure,neutral_vowel,coronal,spread_vowel,rounded_vowel","bilabial_closure→neutral_vowel,neutral_vowel→coronal,coronal→spread_vowel,spread_vowel→coronal,coronal→rounded_vowel","p:bilabial_closure,ə:neutral_vowel,t:coronal,eɪ:spread_vowel,t:coronal,oʊ:rounded_vowel","p:bilabial_closure→ə:neutral_vowel,ə:neutral_vowel→t:coronal,t:coronal→eɪ:spread_vowel,eɪ:spread_vowel→t:coronal,t:coronal→oʊ:rounded_vowel",EQUAL_WEIGHT_HEURISTIC,0.11627907,0,0.666666667,0.1,0,0.222222222,0.021008403,0.25,0.04587156,0.021008403,0.160882337,0.14793578,0.144305633,0.154694555,0.142245942,0.138755416
E037,word,coffee,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/kɔfi/,[kɔfi],k-ɔ-f-i,"f,i,k,ɔ","k,f","ɔ,i",,,"k→ɔ,ɔ→f,f→i",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → rounded_open_vowel → labiodental → spread_vowel,"low_visibility_velar,rounded_open_vowel,labiodental,spread_vowel","low_visibility_velar→rounded_open_vowel,rounded_open_vowel→labiodental,labiodental→spread_vowel","k:low_visibility_velar,ɔ:rounded_open_vowel,f:labiodental,i:spread_vowel","k:low_visibility_velar→ɔ:rounded_open_vowel,ɔ:rounded_open_vowel→f:labiodental,f:labiodental→i:spread_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0,0,0,0.012605042,0.2,0.027522936,0.012605042,0.110327852,0.113761468,0.101242294,0.145168226,0.149686142,0.133213545
E038,word,teacher,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/tiːtʃɚ/,[tiːtʃɚ],t-iː-tʃ-ɚ,"iː,t,tʃ,ɚ","t,tʃ","iː,ɚ",,,"t→iː,iː→tʃ,tʃ→ɚ",,r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → spread_vowel → postalveolar → rhotic_vowel,"coronal,spread_vowel,postalveolar,rhotic_vowel","coronal→spread_vowel,spread_vowel→postalveolar,postalveolar→rhotic_vowel","t:coronal,iː:spread_vowel,tʃ:postalveolar,ɚ:rhotic_vowel","t:coronal→iː:spread_vowel,iː:spread_vowel→tʃ:postalveolar,tʃ:postalveolar→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0.1,0,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.140486582,0.113761468,0.122353405,0.184850766,0.149686142,0.160991323
E039,word,student,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/stuːdənt/,[stuːdənt],s-t-uː-d-ə-n-t,"d,n,s,t,uː,ə","s,t,d,n","uː,ə",t,,"s→t,t→uː,uː→d,d→ə,ə→n,n→t",st,vowel_reduction,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → coronal → rounded_vowel → coronal → neutral_vowel → coronal → coronal,"coronal,rounded_vowel,neutral_vowel","coronal→coronal,coronal→rounded_vowel,rounded_vowel→coronal,coronal→neutral_vowel,neutral_vowel→coronal,coronal→coronal","s:coronal,t:coronal,uː:rounded_vowel,d:coronal,ə:neutral_vowel,n:coronal,t:coronal","s:coronal→t:coronal,t:coronal→uː:rounded_vowel,uː:rounded_vowel→d:coronal,d:coronal→ə:neutral_vowel,ə:neutral_vowel→n:coronal,n:coronal→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.139534884,0.0625,0.666666667,0.1,0.033333333,0.111111111,0.025210084,0.15,0.04587156,0.025210084,0.162622297,0.09793578,0.135943772,0.203277871,0.122419725,0.169929715
E040,word,doctor,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/dɔktɚ/,[dɔktɚ],d-ɔ-k-t-ɚ,"d,k,t,ɔ,ɚ","d,k,t","ɔ,ɚ",,,"d→ɔ,ɔ→k,k→t,t→ɚ",kt,r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → rounded_open_vowel → low_visibility_velar → coronal → rhotic_vowel,"coronal,rounded_open_vowel,low_visibility_velar,rhotic_vowel","coronal→rounded_open_vowel,rounded_open_vowel→low_visibility_velar,low_visibility_velar→coronal,coronal→rhotic_vowel","d:coronal,ɔ:rounded_open_vowel,k:low_visibility_velar,t:coronal,ɚ:rhotic_vowel","d:coronal→ɔ:rounded_open_vowel,ɔ:rounded_open_vowel→k:low_visibility_velar,k:low_visibility_velar→t:coronal,t:coronal→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.11627907,0,0.666666667,0.1,0.033333333,0.111111111,0.016806723,0.2,0.036697248,0.016806723,0.149170986,0.118348624,0.129770087,0.186463733,0.14793578,0.162212609
E041,word,singer,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/sɪŋɚ/,[sɪŋɚ],s-ɪ-ŋ-ɚ,"s,ŋ,ɚ,ɪ","s,ŋ","ɪ,ɚ",,,"s→ɪ,ɪ→ŋ,ŋ→ɚ",,r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → spread_vowel → low_visibility_velar → rhotic_vowel,"coronal,spread_vowel,low_visibility_velar,rhotic_vowel","coronal→spread_vowel,spread_vowel→low_visibility_velar,low_visibility_velar→rhotic_vowel","s:coronal,ɪ:spread_vowel,ŋ:low_visibility_velar,ɚ:rhotic_vowel","s:coronal→ɪ:spread_vowel,ɪ:spread_vowel→ŋ:low_visibility_velar,ŋ:low_visibility_velar→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0.1,0,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.140486582,0.113761468,0.122353405,0.184850766,0.149686142,0.160991323
E042,word,music,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/mjuːzɪk/,[mjuːzɪk],m-j-uː-z-ɪ-k,"j,k,m,uː,z,ɪ","m,j,z,k","uː,ɪ",k,,"m→j,j→uː,uː→z,z→ɪ,ɪ→k",mj,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → palatal_glide → rounded_vowel → coronal → spread_vowel → low_visibility_velar,"bilabial_closure,palatal_glide,rounded_vowel,coronal,spread_vowel,low_visibility_velar","bilabial_closure→palatal_glide,palatal_glide→rounded_vowel,rounded_vowel→coronal,coronal→spread_vowel,spread_vowel→low_visibility_velar","m:bilabial_closure,j:palatal_glide,uː:rounded_vowel,z:coronal,ɪ:spread_vowel,k:low_visibility_velar","m:bilabial_closure→j:palatal_glide,j:palatal_glide→uː:rounded_vowel,uː:rounded_vowel→z:coronal,z:coronal→ɪ:spread_vowel,ɪ:spread_vowel→k:low_visibility_velar",EQUAL_WEIGHT_HEURISTIC,0.139534884,0.0625,0.666666667,0,0.033333333,0,0.021008403,0.3,0.04587156,0.021008403,0.131863327,0.17293578,0.128992325,0.164829158,0.216169725,0.161240406
E043,word,paper,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/peɪpɚ/,[peɪpɚ],p-eɪ-p-ɚ,"eɪ,p,ɚ",p,"eɪ,ɚ",,,"p→eɪ,eɪ→p,p→ɚ",,aspiration;r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → spread_vowel → bilabial_closure → rhotic_vowel,"bilabial_closure,spread_vowel,rhotic_vowel","bilabial_closure→spread_vowel,spread_vowel→bilabial_closure,bilabial_closure→rhotic_vowel","p:bilabial_closure,eɪ:spread_vowel,p:bilabial_closure,ɚ:rhotic_vowel","p:bilabial_closure→eɪ:spread_vowel,eɪ:spread_vowel→p:bilabial_closure,p:bilabial_closure→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.069767442,0,0.666666667,0.1,0,0.222222222,0.012605042,0.15,0.027522936,0.012605042,0.153037339,0.088761468,0.126138935,0.20136492,0.116791405,0.165972283
E044,word,pencil,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/pɛnsəl/,[pɛnsəl],p-ɛ-n-s-ə-l,"l,n,p,s,ə,ɛ","p,n,s,l","ɛ,ə",l,,"p→ɛ,ɛ→n,n→s,s→ə,ə→l",ns,vowel_reduction;dark_l,ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → front_open_vowel → coronal → coronal → neutral_vowel → coronal,"bilabial_closure,front_open_vowel,coronal,neutral_vowel","bilabial_closure→front_open_vowel,front_open_vowel→coronal,coronal→coronal,coronal→neutral_vowel,neutral_vowel→coronal","p:bilabial_closure,ɛ:front_open_vowel,n:coronal,s:coronal,ə:neutral_vowel,l:coronal","p:bilabial_closure→ɛ:front_open_vowel,ɛ:front_open_vowel→n:coronal,n:coronal→s:coronal,s:coronal→ə:neutral_vowel,ə:neutral_vowel→l:coronal",EQUAL_WEIGHT_HEURISTIC,0.139534884,0.0625,0.666666667,0.1,0.033333333,0.222222222,0.021008403,0.2,0.04587156,0.021008403,0.177895073,0.12293578,0.151214547,0.222368841,0.153669725,0.189018184
E045,word,window,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.8,0.8,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/wɪndoʊ/,[wɪndoʊ],w-ɪ-n-d-oʊ,"d,n,oʊ,w,ɪ","w,n,d","ɪ,oʊ",,,"w→ɪ,ɪ→n,n→d,d→oʊ",nd,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,rounded_glide → spread_vowel → coronal → coronal → rounded_vowel,"rounded_glide,spread_vowel,coronal,rounded_vowel","rounded_glide→spread_vowel,spread_vowel→coronal,coronal→coronal,coronal→rounded_vowel","w:rounded_glide,ɪ:spread_vowel,n:coronal,d:coronal,oʊ:rounded_vowel","w:rounded_glide→ɪ:spread_vowel,ɪ:spread_vowel→n:coronal,n:coronal→d:coronal,d:coronal→oʊ:rounded_vowel",EQUAL_WEIGHT_HEURISTIC,0.11627907,0,0.666666667,0,0.033333333,0,0.016806723,0.2,0.036697248,0.016806723,0.119012256,0.118348624,0.108658976,0.14876532,0.14793578,0.13582372
E046,word,garden,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɡɑɹdən/,[ɡɑɹdən],ɡ-ɑɹ-d-ə-n,"d,n,ɑɹ,ə,ɡ","ɡ,d,n","ɑɹ,ə",n,,"ɡ→ɑɹ,ɑɹ→d,d→ə,ə→n",,vowel_reduction;r_coloring,ɑɹ;ə,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → rhotic_vowel → coronal → neutral_vowel → coronal,"low_visibility_velar,rhotic_vowel,coronal,neutral_vowel","low_visibility_velar→rhotic_vowel,rhotic_vowel→coronal,coronal→neutral_vowel,neutral_vowel→coronal","ɡ:low_visibility_velar,ɑɹ:rhotic_vowel,d:coronal,ə:neutral_vowel,n:coronal","ɡ:low_visibility_velar→ɑɹ:rhotic_vowel,ɑɹ:rhotic_vowel→d:coronal,d:coronal→ə:neutral_vowel,ə:neutral_vowel→n:coronal",EQUAL_WEIGHT_HEURISTIC,0.11627907,0.0625,0.666666667,0.2,0,0.222222222,0.016806723,0.2,0.036697248,0.016806723,0.183496383,0.118348624,0.153797865,0.241442609,0.155721873,0.202365612
